category,year,annualGrammy,awardType,name,awardFor
Best Album Notes,1966,8,Individual,September Of My Years,September Of My Years
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,1966,8,Individual,"The ""In"" Crowd","The ""In"" Crowd"
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,1966,8,Work,Duke Ellington,Ellington '66
Best Original Jazz Composition,1966,8,Individual,Jazz Suite On The Mass Texts,Jazz Suite On The Mass Texts
Best Instrumental Arrangement,1966,8,Individual,A Taste Of Honey,A Taste Of Honey
Best Arrangement Accompanying A Vocalist Or Instrumentalist,1966,8,Individual,It Was A Very Good Year,It Was A Very Good Year
Best Contemporary (R&R) Single,1966,8,Work,Roger Miller,King Of The Road
Best Contemporary (R&R) Vocal Performance - Female,1966,8,Individual,I Know A Place,I Know A Place
Best Contemporary (R&R) Vocal Performance - Male,1966,8,Work,Roger Miller,King Of The Road
Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),1966,8,Individual,Flowers On The Wall,Flowers On The Wall
Best Rhythm & Blues Recording,1966,8,Individual,Papa's Got A Brand New Bag,Papa's Got A Brand New Bag
Best Folk Recording,1966,8,Individual,An Evening With Belafonte/Makeba,An Evening With Belafonte/Makeba
Best Gospel Or Other Religious Recording (Musical),1966,8,Individual,Southland Favorites,Southland Favorites
Best Country & Western Single,1966,8,Work,Roger Miller,King Of The Road
Best Country & Western Album,1966,8,Work,Roger Miller,The Return Of Roger Miller
Best Country & Western Vocal Performance - Female,1966,8,Individual,Queen Of The House,Queen Of The House
Best Country & Western Vocal Performance - Male,1966,8,Work,Roger Miller,King Of The Road
Best Country & Western Song,1966,8,Work,Roger Miller,King Of The Road
Best New Country & Western Artist,1966,8,Individual,,
Best Engineered Recording - Non-Classical,1966,8,Individual,A Taste Of Honey,A Taste Of Honey
"Best Engineered Recording, Classical",1966,8,Individual,Horowitz At Carnegie Hall - An Historic Return,Horowitz At Carnegie Hall - An Historic Return
Best Album Cover - Photography,1966,8,Individual,Jazz Suite On The Mass Texts,Jazz Suite On The Mass Texts
Best Album Cover - Graphic Arts,1966,8,Individual,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin
Best Classical Performance - Orchestra,1966,8,Individual,Ives: Symphony No. 4,Ives: Symphony No. 4
Best Classical Chamber Music Performance - Instrumental Or Vocal,1966,8,Individual,Bartók: The Six String Quartets - Nos. 1-6,Bartók: The Six String Quartets - Nos. 1-6
