category,year,annualGrammy,awardType,name,awardFor
Best Pop Vocal Album,2018,60,Work,Ed Sheeran,÷ (Divide)
Best Dance Recording,2018,60,Work,LCD Soundsystem,Tonite
Best Dance/Electronic Album,2018,60,Work,Kraftwerk,3-D The Catalogue
Best Contemporary Instrumental Album,2018,60,Work,Jeff Lorber,Prototype
Best Rock Performance,2018,60,Work,Leonard Cohen,You Want It Darker
Best Metal Performance,2018,60,Work,Mastodon,Sultan’s Curse
Best Rock Song,2018,60,Work,Foo Fighters,Run
Best Rock Album,2018,60,Work,The War On Drugs,A Deeper Understanding
Best Alternative Music Album,2018,60,Work,The National,Sleep Well Beast
Best R&B Performance,2018,60,Work,Bruno Mars,That's What I Like
Best Traditional R&B Performance,2018,60,Work,Childish Gambino,Redbone
Best R&B Song,2018,60,Work,Bruno Mars,That's What I Like
Best Urban Contemporary Album,2018,60,Work,The Weeknd,Starboy
Best R&B Album,2018,60,Work,Bruno Mars,24K Magic
Best Rap Performance,2018,60,Work,Kendrick Lamar,HUMBLE.
Best Rap/Sung Performance,2018,60,Work,Kendrick Lamar,LOYALTY.
Best Rap Song,2018,60,Work,Kendrick Lamar,HUMBLE.
Best Rap Album,2018,60,Work,Kendrick Lamar,DAMN.
Best Country Solo Performance,2018,60,Work,Chris Stapleton,Either Way
Best Country Duo/Group Performance,2018,60,Work,Little Big Town,Better Man
Best Country Song,2018,60,Work,Chris Stapleton,Broken Halos
Best Country Album,2018,60,Work,Chris Stapleton,From A Room: Volume 1
Best New Age Album,2018,60,Work,Peter Kater,Dancing On Water
Best Improvised Jazz Solo,2018,60,Work,John McLaughlin,Miles Beyond
Best Jazz Vocal Album,2018,60,Work,Cécile McLorin Salvant,Dreams And Daggers
Best Jazz Instrumental Album,2018,60,Work,Billy Childs,Rebirth
Best Large Jazz Ensemble Album,2018,60,Work,Christian McBride,Bringin' It
Best Latin Jazz Album,2018,60,Work,Pablo Ziegler,Jazz Tango
Best Gospel Performance/Song,2018,60,Work,CeCe Winans,Never Have To Be Alone
Best Contemporary Christian Music Performance/Song,2018,60,Work,Hillsong Worship,What A Beautiful Name
Best Gospel Album,2018,60,Work,CeCe Winans,Let Them Fall In Love
Best Contemporary Christian Music Album,2018,60,Work,Zach Williams,Chain Breaker
Best Roots Gospel Album,2018,60,Work,Reba McEntire,Sing It Now: Songs Of Faith & Hope
Best Latin Pop Album,2018,60,Work,Shakira,El Dorado
"Best Latin Rock, Urban or Alternative Album",2018,60,Work,Residente,Residente
Best Regional Mexican Music Album (Including Tejano),2018,60,Work,Aida Cuevas,Arriero Somos Versiones Acústicas
Best Tropical Latin Album,2018,60,Work,Rubén Blades,Salsa Big Band
Best American Roots Performance,2018,60,Work,Alabama Shakes,Killer Diller Blues
Best American Roots Song,2018,60,Work,Jason Isbell,If We Were Vampires
Best Americana Album,2018,60,Work,Jason Isbell,The Nashville Sound
Best Bluegrass Album,2018,60,Work,The Infamous Stringdusters,Laws Of Gravity
Best Traditional Blues Album,2018,60,Work,The Rolling Stones,Blue & Lonesome
Best Contemporary Blues Album,2018,60,Work,Taj Mahal,TajMo
Best Folk Album,2018,60,Work,Aimee Mann,Mental Illness
Best Regional Roots Music Album,2018,60,Work,Lost Bayou Ramblers,Kalenda
Best Reggae Album,2018,60,Work,"Damian ""Jr. Gong"" Marley",Stony Hill
Best World Music Album,2018,60,Work,Ladysmith Black Mambazo,Shaka Zulu Revisited: 30th Anniversary Celebration
Best Children's Album,2018,60,Work,Lisa Loeb,Feel What U Feel
"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2018,60,Individual,The Princess Diarist,The Princess Diarist
Best Comedy Album,2018,60,Work,Dave Chappelle,The Age Of Spin & Deep In The Heart Of Texas
Best Musical Theater Album,2018,60,Work,Stacey Mindich,Dear Evan Hansen
Best Compilation Soundtrack For Visual Media,2018,60,Individual,La La Land,La La Land
Best Score Soundtrack For Visual Media,2018,60,Work,Justin Hurwitz,La La Land
Best Song Written For Visual Media,2018,60,Work,Lin-Manuel Miranda,How Far I'll Go
Best Instrumental Composition,2018,60,Work,Chucho Valdés,Three Revolutions
"Best Arrangement, Instrumental or A Cappella",2018,60,Work,John Williams,Escapades For Alto Saxophone And Orchestra From Catch Me If You Can
"Best Arrangement, Instruments and Vocals",2018,60,Work,Randy Newman,Putin
Best Recording Package,2018,60,Work,Sasha Barr,Pure Comedy (Deluxe Edition)
Best Boxed Or Special Limited Edition Package,2018,60,Work,Lawrence Azerrad,The Voyager Golden Record: 40th Anniversary Edition
Best Album Notes,2018,60,Work,Lynell George,Live At The Whisky A Go Go: The Complete Recordings
Best Historical Album,2018,60,Work,Robert Russ,Leonard Bernstein - The Composer
"Best Engineered Album, Non-Classical",2018,60,Work,Bruno Mars,24K Magic
"Producer Of The Year, Non-Classical",2018,60,Work,Beck,Greg Kurstin
Best Remixed Recording,2018,60,Work,Dennis White,You Move (Latroit Remix)
Best Surround Sound Album,2018,60,Work,Jim Anderson,Early Americans
"Best Engineered Album, Classical",2018,60,Work,Mark Donahue,Shostakovich: Symphony No. 5; Barber: Adagio
"Producer Of The Year, Classical",2018,60,Individual,David Frost,David Frost
Best Orchestral Performance,2018,60,Work,Manfred Honeck,Shostakovich: Symphony No. 5; Barber: Adagio
Best Opera Recording,2018,60,Work,Hans Graf,Berg: Wozzeck
Best Choral Performance,2018,60,Work,Donald Nally,Bryars: The Fifth Century
Best Chamber Music/Small Ensemble Performance,2018,60,Work,Patricia Kopatchinskaja,Death & The Maiden
Best Classical Instrumental Solo,2018,60,Work,Daniil Trifonov,Transcendental
Best Classical Solo Vocal Album,2018,60,Work,Barbara Hannigan,Crazy Girl Crazy
Best Classical Compendium,2018,60,Work,Giancarlo Guerrero,"Higdon: All Things Majestic, Viola Concerto & Oboe Concerto"
Best Contemporary Classical Composition,2018,60,Work,Jennifer Higdon,Viola Concerto
Best Music Video,2018,60,Work,Kendrick Lamar,HUMBLE.
Best Music Film,2018,60,Individual,The Defiant Ones,The Defiant Ones
Record Of The Year,1961,3,Individual,The Theme From A Summer Place,The Theme From A Summer Place
Album Of The Year,1961,3,Individual,The Button-Down Mind Of Bob Newhart,The Button-Down Mind Of Bob Newhart
Song Of The Year,1961,3,Individual,Theme From Exodus,Theme From Exodus
"Best Vocal Performance Single Record Or Track, Female",1961,3,Individual,Mack The Knife,Mack The Knife
"Best Vocal Performance Album, Female",1961,3,Work,Ella Fitzgerald,Mack The Knife - Ella In Berlin
"Best Vocal Performance Single Record Or Track, Male",1961,3,Individual,Georgia On My Mind,Georgia On My Mind
"Best Vocal Performance Album, Male",1961,3,Individual,The Genius Of Ray Charles,The Genius Of Ray Charles
Best Arrangement,1961,3,Work,Henry Mancini,Mr. Lucky
Best Performance By A Band For Dancing,1961,3,Individual,Dance With Basie,Dance With Basie
Best Performance By An Orchestra,1961,3,Work,Henry Mancini,Mr. Lucky
Best Performance By A Vocal Group (2 To 6),1961,3,Individual,We Got Us,We Got Us
Best Performance By A Chorus (7 Or More Persons),1961,3,Individual,Songs Of The Cowboy,Songs Of The Cowboy
Best Jazz Performance Solo Or Small Group,1961,3,Work,André Previn,West Side Story
Best Jazz Performance Large Group,1961,3,Work,Henry Mancini,Blues And The Beat
Best Classical Performance - Orchestra,1961,3,Individual,"Bartók: Music For Strings, Percussion And Celeste","Bartók: Music For Strings, Percussion And Celeste"
Best Classical Performance - Vocal Or Instrumental - Chamber Music,1961,3,Individual,Conversations With The Guitar,Conversations With The Guitar
Best Classical Performance - Concerto Or Instrumental Soloist,1961,3,Individual,Brahms: Piano Concerto No. 2 In B Flat,Brahms: Piano Concerto No. 2 In B Flat
Best Classical Performance - Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),1961,3,Individual,The Spanish Guitars Of Laurindo Almeida,The Spanish Guitars Of Laurindo Almeida
Best Classical Performance - Vocal Soloist,1961,3,Individual,A Program Of Song - Leontyne Price Recital,A Program Of Song - Leontyne Price Recital
Best Classical Opera Production,1961,3,Individual,Puccini: Turandot,Puccini: Turandot
Best Classical Performance - Choral (Including Oratorio),1961,3,Individual,Handel: Messiah,Handel: Messiah
Best Contemporary Classical Composition,1961,3,Individual,Copland: Orchestral Suite From Tender Land Suite,Copland: Orchestral Suite From Tender Land Suite
Best Sound Track Album Or Recording Of Music Score From Motion Picture Or Television,1961,3,Individual,Exodus,Exodus
Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television,1961,3,Individual,Can Can,Can Can
Best Show Album (Original Cast),1961,3,Individual,The Sound Of Music,The Sound Of Music
Best Comedy Performance - Spoken Word,1961,3,Individual,The Button-Down Mind Strikes Back!,The Button-Down Mind Strikes Back!
Best Comedy Performance (Musical),1961,3,Individual,Jonathan And Darlene Edwards In Paris,Jonathan And Darlene Edwards In Paris
Best Performance - Documentary Or Spoken Word (Other Than Comedy),1961,3,Individual,FDR Speaks,FDR Speaks
Best Performance By A Pop Single Artist,1961,3,Individual,Georgia On My Mind,Georgia On My Mind
Best Country & Western Performance,1961,3,Individual,El Paso,El Paso
Best Rhythm & Blues Performance,1961,3,Individual,Let The Good Times Roll,Let The Good Times Roll
Best Performance - Folk,1961,3,Individual,Swing Dat Hammer,Swing Dat Hammer
Best Album Created For Children,1961,3,Individual,Let's All Sing With The Chipmunks,Let's All Sing With The Chipmunks
Best Engineering Contribution - Classical Recording,1961,3,Individual,The Spanish Guitars Of Laurindo Almeida,The Spanish Guitars Of Laurindo Almeida
Best Engineering Contribution - Popular Recording,1961,3,Individual,Ella Fitzgerald Sings The George And Ira Gershwin Songbook,Ella Fitzgerald Sings The George And Ira Gershwin Songbook
Best Engineering Contribution - Novelty Recording,1961,3,Individual,The Old Payola Roll Blues,The Old Payola Roll Blues
Best Album Cover,1961,3,Individual,Latin A La Lee,Latin A La Lee
Best New Artist Of 1960,1961,3,Individual,Bob Newhart,Bob Newhart
Best Jazz Composition Of More Than Five Minutes Duration,1961,3,Individual,Sketches Of Spain,Sketches Of Spain
Record Of The Year,1971,13,Individual,Bridge Over Troubled Water,Bridge Over Troubled Water
Album Of The Year,1971,13,Individual,Bridge Over Troubled Water,Bridge Over Troubled Water
Song Of The Year,1971,13,Work,Paul Simon,Bridge Over Troubled Water
Best New Artist Of The Year,1971,13,Individual,Carpenters,Carpenters
Best Instrumental Arrangement,1971,13,Work,Henry Mancini,"Theme From ""Z"""
Best Arrangement Accompanying Vocalist(s),1971,13,Individual,Bridge Over Troubled Water,Bridge Over Troubled Water
Best Engineered Recording - Non-Classical,1971,13,Individual,Bridge Over Troubled Water,Bridge Over Troubled Water
Best Album Cover,1971,13,Individual,Indianola Mississippi Seeds,Indianola Mississippi Seeds
Best Album Notes,1971,13,Individual,The World's Greatest Blues Singer,The World's Greatest Blues Singer
"Best Contemporary Vocal Performance, Female",1971,13,Individual,I'll Never Fall In Love Again,I'll Never Fall In Love Again
"Best Contemporary Vocal Performance, Male",1971,13,Individual,Everything Is Beautiful,Everything Is Beautiful
"Best Contemporary Vocal Performance By A Duo, Group Or Chorus",1971,13,Individual,Close To You,Close To You
Best Contemporary Instrumental Performance,1971,13,Work,Henry Mancini,"Theme From ""Z"" And Other Film Music"
Best Contemporary Song,1971,13,Individual,Bridge Over Troubled Water,Bridge Over Troubled Water
"Best R&B Vocal Performance, Female",1971,13,Work,Aretha Franklin,Don't Play That Song
"Best R&B Vocal Performance, Male",1971,13,Work,B.B. King,The Thrill Is Gone
"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental",1971,13,Individual,Didn't I (Blow Your Mind This Time),Didn't I (Blow Your Mind This Time)
Best Rhythm & Blues Song,1971,13,Individual,Patches,Patches
Best Soul Gospel Performance,1971,13,Individual,Every Man Wants To Be Free,Every Man Wants To Be Free
"Best Country Vocal Performance, Female",1971,13,Individual,Rose Garden,Rose Garden
"Best Country Vocal Performance, Male",1971,13,Individual,For The Good Times,For The Good Times
Best Country Vocal Performance By A Duo Or Group,1971,13,Individual,If I Were A Carpenter,If I Were A Carpenter
Best Country Instrumental Performance,1971,13,Individual,Me And Jerry,Me And Jerry
Best Country Song,1971,13,Individual,"My Woman, My Woman, My Wife","My Woman, My Woman, My Wife"
Best Sacred Performance (Musical),1971,13,Individual,Everything Is Beautiful,Everything Is Beautiful
Best Gospel Performance (Other Than Soul Gospel),1971,13,Individual,Talk About The Good Times,Talk About The Good Times
Best Ethnic Or Traditional Recording (Including Traditional Blues),1971,13,Individual,Good Feelin',Good Feelin'
Best Instrumental Composition,1971,13,Individual,Airport Love Theme,Airport Love Theme
Best Original Score Written For A Motion Picture Or A Television Special,1971,13,Work,The Beatles,Let It Be
Best Score From An Original Cast Show Album,1971,13,Individual,Company,Company
Best Recording For Children,1971,13,Individual,Sesame Street,Sesame Street
Best Comedy Recording,1971,13,Individual,The Devil Made Me Buy This Dress,The Devil Made Me Buy This Dress
Best Spoken Word Recording,1971,13,Individual,Why I Oppose The War In Vietnam,Why I Oppose The War In Vietnam
Best Jazz Performance - Small Group Or Soloist With Small Group,1971,13,Individual,Alone,Alone
Best Jazz Performance - Large Group Or Soloist With Large Group,1971,13,Individual,Bitches Brew,Bitches Brew
"Album Of The Year, Classical",1971,13,Individual,Berlioz: Les Troyens,Berlioz: Les Troyens
"Best Classical Performance, Orchestra",1971,13,Work,Pierre Boulez,Stravinsky: Le Sacre Du Printemps
Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),1971,13,Individual,Brahms: Double Concerto (Concerto In A Minor For Violin And Cello),Brahms: Double Concerto (Concerto In A Minor For Violin And Cello)
Best Chamber Music Performance,1971,13,Individual,Beethoven: The Complete Piano Trios,Beethoven: The Complete Piano Trios
Best Opera Recording,1971,13,Individual,Berlioz: Les Troyens,Berlioz: Les Troyens
Best Classical Vocal Soloist Performance,1971,13,Individual,Schubert: Lieder,Schubert: Lieder
Best Choral Performance (Other Than Opera),1971,13,Individual,Ives: New Music Of Charles Ives,Ives: New Music Of Charles Ives
"Best Engineered Recording, Classical",1971,13,Individual,Stravinsky: Le Sacre Du Printemps,Stravinsky: Le Sacre Du Printemps
Record Of The Year,1981,23,Individual,Sailing,Sailing
Album Of The Year,1981,23,Individual,Christopher Cross,Christopher Cross
Song Of The Year,1981,23,Individual,Sailing,Sailing
Best New Artist,1981,23,Individual,Christopher Cross,Christopher Cross
"Best Pop Vocal Performance, Female",1981,23,Individual,The Rose,The Rose
"Best Pop Vocal Performance, Male",1981,23,Individual,This Is It,This Is It
Best Pop Performance By A Duo Or Group With Vocal,1981,23,Work,Barbra Streisand,Guilty
Best Pop Instrumental Performance,1981,23,Individual,One On One,One On One
"Best Rock Vocal Performance, Female",1981,23,Individual,Crimes Of Passion,Crimes Of Passion
"Best Rock Vocal Performance, Male",1981,23,Individual,Glass Houses,Glass Houses
Best Rock Performance By A Duo Or Group With Vocal,1981,23,Individual,Against The Wind,Against The Wind
Best Rock Instrumental Performance,1981,23,Individual,Reggatta De Blanc,Reggatta De Blanc
"Best R&B Vocal Performance, Female",1981,23,Individual,Never Knew Love Like This Before,Never Knew Love Like This Before
"Best R&B Vocal Performance, Male",1981,23,Individual,Give Me The Night,Give Me The Night
Best R&B Performance By A Duo Or Group With Vocal,1981,23,Individual,Shining Star,Shining Star
Best R&B Instrumental Performance,1981,23,Individual,Off Broadway,Off Broadway
Best Rhythm & Blues Song,1981,23,Individual,Never Knew Love Like This Before,Never Knew Love Like This Before
"Best Jazz Fusion Performance, Vocal Or Istrumental",1981,23,Individual,Birdland,Birdland
"Best Country Vocal Performance, Female",1981,23,Individual,Could I Have This Dance?,Could I Have This Dance?
"Best Country Vocal Performance, Male",1981,23,Individual,He Stopped Loving Her Today,He Stopped Loving Her Today
Best Country Performance Duo Or Group,1981,23,Work,Emmylou Harris,That Lovin' You Feelin' Again
Best Country Instrumental Performance,1981,23,Individual,Orange Blossom Special/Hoedown,Orange Blossom Special/Hoedown
Best Country Song,1981,23,Work,Willie Nelson,On The Road Again
"Best Gospel Performance, Contemporary Or Inspirational",1981,23,Individual,The Lord's Prayer,The Lord's Prayer
"Best Gospel Performance, Traditional",1981,23,Individual,We Come To Worship,We Come To Worship
"Best Soul Gospel Performance, Contemporary",1981,23,Work,Shirley Caesar,Rejoice
"Best Soul Gospel Performance, Traditional",1981,23,Individual,"Lord, Let Me Be An Instrument","Lord, Let Me Be An Instrument"
Best Inspirational Performance,1981,23,Individual,With My Song I Will Praise Him,With My Song I Will Praise Him
Best Ethnic Or Traditional Recording,1981,23,Individual,Rare Blues,Rare Blues
Best Latin Recording,1981,23,Individual,La Onda Va Bien,La Onda Va Bien
Best Recording For Children,1981,23,Individual,In Harmony/A Sesame Street Record,In Harmony/A Sesame Street Record
Best Comedy Recording,1981,23,Individual,No Respect,No Respect
"Best Spoken Word, Documentary Or Drama",1981,23,Individual,"Gertrude Stein, Gertrude Stein, Gertrude Stein","Gertrude Stein, Gertrude Stein, Gertrude Stein"
Best Instrumental Composition,1981,23,Work,John Williams,The Empire Strikes Back
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1981,23,Work,John Williams,The Empire Strikes Back
Best Cast Show Album,1981,23,Individual,Evita - Premier American Recording,Evita - Premier American Recording
"Best Jazz Vocal Performance, Female",1981,23,Work,Ella Fitzgerald,A Perfect Match - Ella And Basie
"Best Jazz Vocal Performance, Male",1981,23,Individual,Moody's Mood,Moody's Mood
"Best Jazz Instrumental Performance, Soloist",1981,23,Individual,I Will Say Goodbye,I Will Say Goodbye
"Best Jazz Instrumental Performance, Group",1981,23,Individual,We Will Meet Again,We Will Meet Again
"Best Jazz Instrumental Performance, Big Band",1981,23,Individual,On The Road,On The Road
Best Instrumental Arrangement,1981,23,Individual,"Dinorah, Dinorah","Dinorah, Dinorah"
Best Arrangement Accompanying Vocalist(s),1981,23,Individual,Sailing,Sailing
Best Arrangement For Voices,1981,23,Individual,Birdland,Birdland
Best Album Package,1981,23,Individual,Against The Wind,Against The Wind
Best Album Notes,1981,23,Individual,"Trilogy: Past, Present And Future","Trilogy: Past, Present And Future"
Best Historical Reissue Album,1981,23,Individual,Segovia - The EMI Recordings 1927-39,Segovia - The EMI Recordings 1927-39
Best Engineered Recording - Non-Classical,1981,23,Individual,The Wall,The Wall
Producer Of The Year (Non-Classical),1981,23,Individual,Phil Ramone,Phil Ramone
Best Classical Album,1981,23,Work,Pierre Boulez,Berg: Lulu (Complete Version)
Best Classical Orchestral Recording,1981,23,Work,Georg Solti,Bruckner: Symphony No. 6 In A
Best Opera Recording,1981,23,Work,Pierre Boulez,Berg: Lulu (Complete Version)
"Best Choral Performance, Classical (Other Than Opera)",1981,23,Individual,Mozart: Requiem,Mozart: Requiem
Best Chamber Music Performance,1981,23,Individual,Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins),Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins)
Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),1981,23,Individual,Berg: Violin Concerto/Stravinsky: Violin Concerto In D,Berg: Violin Concerto/Stravinsky: Violin Concerto In D
Best Classical Performance - Instrumental Soloist OR Soloists (With Orchestra),1981,23,Individual,Brahms: Violin And Cello Concerto In A Minor (Double Concerto),Brahms: Violin And Cello Concerto In A Minor (Double Concerto)
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1981,23,Individual,The Spanish Album,The Spanish Album
Best Classical Vocal Soloist Performance,1981,23,Individual,"Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten","Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten"
"Best Engineered Recording, Classical",1981,23,Individual,Berg: Lulu (Complete Version),Berg: Lulu (Complete Version)
Classical Producer Of The Year,1981,23,Work,Robert Woods,Robert Woods
Record Of The Year,1991,33,Individual,Another Day In Paradise,Another Day In Paradise
Album Of The Year,1991,33,Work,Quincy Jones,Back On The Block
Song Of The Year,1991,33,Individual,From A Distance,From A Distance
Best New Artist,1991,33,Work,Mariah Carey,Mariah Carey
"Best Pop Vocal Performance, Female",1991,33,Work,Mariah Carey,Vision Of Love
"Best Pop Vocal Performance, Male",1991,33,Individual,Oh Pretty Woman,Oh Pretty Woman
Best Pop Performance By A Duo Or Group With Vocal,1991,33,Individual,All My Life,All My Life
Best Pop Instrumental Performance,1991,33,Individual,Twin Peaks Theme,Twin Peaks Theme
"Best Rock Vocal Performance, Female",1991,33,Individual,Black Velvet,Black Velvet
"Best Rock Vocal Performance, Male",1991,33,Work,Eric Clapton,Bad Love
Best Rock Performance By A Duo Or Group With Vocal,1991,33,Work,Aerosmith,Janie's Got A Gun
Best Rock Instrumental Performance,1991,33,Individual,D/FW,D/FW
Best Hard Rock Performance,1991,33,Individual,Time's Up,Time's Up
Best Metal Performance,1991,33,Work,Metallica,Stone Cold Crazy
Best Alternative Music Performance,1991,33,Individual,I Do Not Want What I Haven't Got,I Do Not Want What I Haven't Got
"Best R&B Vocal Performance, Female",1991,33,Individual,Compositions,Compositions
"Best R&B Vocal Performance, Male",1991,33,Individual,Here And Now,Here And Now
Best R&B Performance By A Duo Or Group With Vocal,1991,33,Individual,I'll Be Good To You,I'll Be Good To You
Best Rhythm & Blues Song,1991,33,Individual,U Can't Touch This,U Can't Touch This
Best Rap Solo Performance,1991,33,Individual,U Can't Touch This,U Can't Touch This
Best Rap Performance By A Duo Or Group,1991,33,Work,Quincy Jones,Back On The Block
Best New Age Performance,1991,33,Individual,Mark Isham,Mark Isham
Best Jazz Fusion Performance,1991,33,Work,Quincy Jones,Birdland
"Best Jazz Vocal Performance, Female",1991,33,Work,Ella Fitzgerald,All That Jazz
"Best Jazz Vocal Performance, Male",1991,33,Individual,We Are In Love,We Are In Love
"Best Jazz Instrumental Performance, Soloist",1991,33,Individual,The Legendary Oscar Peterson Trio Live At The Blue Note,The Legendary Oscar Peterson Trio Live At The Blue Note
"Best Jazz Instrumental Performance, Group",1991,33,Individual,The Legendary Oscar Peterson Trio Live At The Blue Note,The Legendary Oscar Peterson Trio Live At The Blue Note
"Best Jazz Instrumental Performance, Big Band",1991,33,Individual,Basie's Bag,Basie's Bag
"Best Country Vocal Performance, Female",1991,33,Individual,Where've You Been,Where've You Been
"Best Country Vocal Performance, Male",1991,33,Work,Vince Gill,When I Call Your Name
Best Country Performance By A Duo Or Group With Vocal,1991,33,Individual,Pickin' On Nashville,Pickin' On Nashville
Best Country Vocal Collaboration,1991,33,Individual,Poor Boy Blues,Poor Boy Blues
Best Country Instrumental Performance,1991,33,Individual,"So Soft, Your Goodbye","So Soft, Your Goodbye"
Best Bluegrass Recording,1991,33,Work,Alison Krauss,I've Got That Old Feeling
Best Country Song,1991,33,Individual,Where've You Been,Where've You Been
Best Rock/Contemporary Gospel Album,1991,33,Individual,Beyond Belief,Beyond Belief
Best Pop Gospel Album,1991,33,Individual,Another Time... Another Place,Another Time... Another Place
Best Southern Gospel Album,1991,33,Individual,The Great Exchange,The Great Exchange
Best Traditional Soul Gospel Performance,1991,33,Individual,Tramaine Hawkins Live,Tramaine Hawkins Live
Best Contemporary Soul Gospel Album,1991,33,Individual,So Much 2 Say,So Much 2 Say
Best Gospel Album By A Choir Or Chorus,1991,33,Individual,Having Church,Having Church
Best Latin Pop Performance,1991,33,Individual,Por Que Te Tengo Que Olvidar?,Por Que Te Tengo Que Olvidar?
Best Tropical Latin Performance,1991,33,Individual,Lambada Timbales,Lambada Timbales
Best Mexican-American Performance,1991,33,Individual,Soy De San Luis,Soy De San Luis
Best Traditional Blues Recording,1991,33,Work,B.B. King,Live At San Quentin
Best Contemporary Blues Recording,1991,33,Individual,Family Style,Family Style
Best Traditional Folk Recording,1991,33,Individual,On Praying Ground,On Praying Ground
Best Contemporary Folk Recording,1991,33,Individual,Steady On,Steady On
Best Reggae Recording,1991,33,Individual,Time Will Tell - A Tribute To Bob Marley,Time Will Tell - A Tribute To Bob Marley
Best Polka Recording,1991,33,Work,Jimmy Sturr,When It's Polka Time At Your House
Best Recording For Children,1991,33,Individual,The Little Mermaid,The Little Mermaid
Best Comedy Recording,1991,33,Individual,P.D.Q. Bach: Oedipus Tex And Other Choral Calamities,P.D.Q. Bach: Oedipus Tex And Other Choral Calamities
Best Spoken Word Or Non-Musical Recording,1991,33,Individual,Gracie - A Love Story,Gracie - A Love Story
Best Musical Cast Show Album,1991,33,Individual,Les Miserables - The Complete Symphonic Recording,Les Miserables - The Complete Symphonic Recording
Best Instrumental Composition,1991,33,Work,Pat Metheny,Change Of Heart
Best Instrumental Composition Written For A Motion Picture Or For Television,1991,33,Individual,Glory,Glory
Best Song Written Specifically For A Motion Picture Or For Television,1991,33,Work,Alan Menken,Under The Sea (From The Little Mermaid)
Best Music Video - Short Form,1991,33,Individual,Opposites Attract,Opposites Attract
Best Music Video - Long Form,1991,33,Individual,Please Hammer Don't Hurt 'Em - The Movie,Please Hammer Don't Hurt 'Em - The Movie
Best Arrangement On An Instrumental,1991,33,Work,Quincy Jones,Birdland
Best Instrumental Arrangement Accompanying Vocal(s),1991,33,Individual,The Places You Find Love,The Places You Find Love
Best Engineered Recording - Non-Classical,1991,33,Individual,Back On The Block,Back On The Block
Producer Of The Year (Non-Classical),1991,33,Work,Quincy Jones,Quincy Jones
Best Album Package,1991,33,Individual,Days Of Open Hand,Days Of Open Hand
Best Album Notes,1991,33,Individual,Brownie - The Complete Emarcy Recordings Of Clifford Brown,Brownie - The Complete Emarcy Recordings Of Clifford Brown
Best Historical Album,1991,33,Individual,Robert Johnson - The Complete Recordings,Robert Johnson - The Complete Recordings
Best Classical Album,1991,33,Individual,Ives: Sym. No. 2; Gong On The Hook And Ladder; Central Park In The Dark; The Unanswered Question,Ives: Sym. No. 2; Gong On The Hook And Ladder; Central Park In The Dark; The Unanswered Question
Best Orchestral Performance,1991,33,Individual,Shostakovich: Symphonies Nos. 1 & 7,Shostakovich: Symphonies Nos. 1 & 7
Best Opera Recording,1991,33,Individual,Wagner: Das Rheingold,Wagner: Das Rheingold
Best Choral Performance (Other Than Opera),1991,33,Individual,Walton: Belshazzar's Feast/Bernstein: Chichester Psalms; Missa Brevis,Walton: Belshazzar's Feast/Bernstein: Chichester Psalms; Missa Brevis
"Best Classical Performance, Instrumental Soloist (With Orchestra)",1991,33,Individual,Shostakovich: Violin Concerto No. 1 In A Minor/Glazunov: Violin Concerto In A Minor,Shostakovich: Violin Concerto No. 1 In A Minor/Glazunov: Violin Concerto In A Minor
"Best Classical Performance, Instrumental Soloist (Without Orchestra)",1991,33,Work,Vladimir Horowitz,The Last Recording
Best Chamber Music Or Other Small Ensemble Performance,1991,33,Individual,Brahms: The Three Violin Sonatas,Brahms: The Three Violin Sonatas
Best Classical Vocal Performance,1991,33,Individual,"Carreras, Domingo, Pavarotti In Concert","Carreras, Domingo, Pavarotti In Concert"
Best Contemporary Composition,1991,33,Individual,Bernstein: Arias & Barcarolles,Bernstein: Arias & Barcarolles
Best Engineered Recording - Classical,1991,33,Individual,Rachmaninoff: Vespers,Rachmaninoff: Vespers
Classical Producer Of The Year,1991,33,Individual,Adam Stern,Adam Stern
Record Of The Year,2001,43,Work,U2,Beautiful Day
Album Of The Year,2001,43,Individual,Two Against Nature,Two Against Nature
Song Of The Year,2001,43,Work,U2,Beautiful Day
Best New Artist,2001,43,Individual,Shelby Lynne,Shelby Lynne
Best Female Pop Vocal Performance,2001,43,Individual,I Try,I Try
Best Male Pop Vocal Performance,2001,43,Work,Sting,She Walks This Earth (Soberana Rosa)
Best Pop Performance By A Duo Or Group With Vocal,2001,43,Individual,Cousin Dupree,Cousin Dupree
Best Pop Collaboration With Vocals,2001,43,Work,B.B. King,"Is You Is, Or Is You Ain't (My Baby)"
